usd_cleaning_fee,f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_reviews_per_month,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,price,id,neighbourhood_cleansed,cancellation_policy,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights
NA,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,85,100,2,1,100,1,1,0.48,0,4,2,62,0.48,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,85,16349187,Hackney,moderate,Entire home/apt,Apartment,4.442651256490317,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,0.6931471805599453,1,4.127134385045092,17.033238232221528,70.29846319686614,3844,238328,4.605170185988092,3
30,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,149,100,4,1.5,93,8,1,0.47,0,5,2,509,0.47,1,0,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,149,7967590,Hackney,flexible,Entire home/apt,Apartment,5.003946305945459,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,2.1972245773362196,1,6.2324480165505225,38.84340827900454,242.089522884544,259081,131872229,4.532599493153256,3
50,House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,150,NA,8,2.5,80,1,5,0.15,10,3,5,202,0.15,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,150,10671506,Hackney,strict,Entire home/apt,House,5.0106352940962555,64,2.0794415416798357,4.324077125263812,1.6094379124341003,2,0.6931471805599453,1,5.308267697401205,28.177705947273093,149.57480626677958,40804,8242408,4.382026634673881,3
25,House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,105,NA,6,2.5,99,17,4,0.27,10,3,4,1885,0.27,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,105,243077,Hackney,strict,Entire home/apt,House,4.653960350157523,36,1.791759469228055,3.210401995568401,1.3862943611198906,2,2.8903717578961645,1,7.541683099882111,56.87698397904745,428.9481888470478,3553225,6697829125,4.59511985013459,3
36,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,104,100,4,1,92,12,1,0.45,0,2,1,805,0.45,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,104,4660853,Hackney,strict,Entire home/apt,Apartment,4.6443908991413725,16,1.3862943611198906,1.9218120556728056,0,1,2.5649493574615367,1,6.690842277418564,44.767370381291634,299.53141439600165,648025,521660125,4.5217885770490405,2
NA,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,64,100,3,1,100,1,1,0.05,0,14,1,557,0.05,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,64,6818451,Hackney,moderate,Entire home/apt,Apartment,4.1588830833596715,9,1.0986122886681098,1.206948960812582,0,1,0.6931471805599453,1,6.322565239927284,39.97483121313676,252.7434783001387,310249,172808693,4.605170185988092,3
NA,House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,175,100,5,2,92,15,4,0.34,40,2,3,1316,0.34,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,175,1360695,Hackney,strict,Entire home/apt,House,5.1647859739235145,25,1.6094379124341003,2.5902903939802346,1.0986122886681098,2,2.772588722239781,1,7.182352111885263,51.586181859102695,370.5101222198235,1731856,2279122496,4.5217885770490405,2
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,31,100,2,1,100,2,1,2,6,1,NA,21,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,31,16895242,Hackney,flexible,Private room,Apartment,3.4339872044851463,4,0.6931471805599453,0.4804530139182014,NA,1,1.0986122886681098,1,3.044522437723423,9.269116873801375,28.220034300169072,441,9261,4.605170185988092,1
25,Apartment,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,70,100,4,1,NA,0,1,NA,0,3,2,NA,NA,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,70,17237312,Hackney,flexible,Entire home/apt,Apartment,4.248495242049359,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,0,0,NA,NA,NA,NA,NA,NA,3
NA,Apartment,Entire home/apt,Entire/Apt,strict,Couch,Hackney,49,100,2,1,93,43,1,1.34,4,1,1,963,1.34,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,49,3471743,Hackney,strict,Entire home/apt,Apartment,3.8918202981106265,4,0.6931471805599453,0.4804530139182014,0,1,3.784189633918261,1,6.870053411798126,47.19763388095907,324.2502656726817,927369,893056347,4.532599493153256,1
