usd_cleaning_fee,f_property_type,f_room_type,f_room_type2,f_cancellation_policy,f_bed_type,f_neighbourhood_cleansed,usd_price_day,p_host_response_rate,n_accommodates,n_bathrooms,n_review_scores_rating,n_number_of_reviews,n_guests_included,n_reviews_per_month,n_extra_people,n_minimum_nights,n_beds,n_days_since,d_reviews_per_month,d_24hourcheckin,d_airconditioning,d_breakfast,d_buzzerwirelessintercom,d_cabletv,d_carbonmonoxidedetector,d_cats,d_dogs,d_doorman,d_doormanentry,d_dryer,d_elevatorinbuilding,d_essentials,d_familykidfriendly,d_fireextinguisher,d_firstaidkit,d_freeparkingonpremises,d_freeparkingonstreet,d_gym,d_hairdryer,d_hangers,d_heating,d_hottub,d_indoorfireplace,d_internet,d_iron,d_keypad,d_kitchen,d_laptopfriendlyworkspace,d_lockonbedroomdoor,d_lockbox,d_otherpets,d_paidparkingoffpremises,d_petsallowed,d_petsliveonthisproperty,d_pool,d_privateentrance,d_privatelivingroom,d_safetycard,d_selfcheckin,d_shampoo,d_smartlock,d_smokedetector,d_smokingallowed,d_suitableforevents,d_tv,d_washer,d_washerdryer,d_wheelchairaccessible,price,id,neighbourhood_cleansed,cancellation_policy,room_type,property_type,ln_price,n_accommodates2,ln_accommodates,ln_accommodates2,ln_beds,f_bathroom,ln_number_of_reviews,f_number_of_reviews,ln_days_since,ln_days_since2,ln_days_since3,n_days_since2,n_days_since3,ln_review_scores_rating,f_minimum_nights
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,65,100,2,1.5,92,3,1,0.06,10,1,1,1467,0.06,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,65,579612,Hackney,flexible,Private room,Apartment,4.174387269895637,4,0.6931471805599453,0.4804530139182014,0,1,1.3862943611198906,1,7.2909747781429814,53.1583132155171,387.57592090295987,2152089,3157114563,4.5217885770490405,1
NA,House,Private room,Private,moderate,Real Bed,Hackney,30,NA,2,3,90,2,1,0.1,0,1,1,573,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,30,4839715,Hackney,moderate,Private room,House,3.4011973816621555,4,0.6931471805599453,0.4804530139182014,0,2,1.0986122886681098,1,6.35088571671474,40.333749386771295,256.1550328819977,328329,188132517,4.499809670330265,1
NA,Apartment,Private room,Private,moderate,Couch,Hackney,150,100,7,1.5,97,32,1,0.55,10,2,5,1739,0.55,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,150,459237,Hackney,moderate,Private room,Apartment,5.0106352940962555,49,1.9459101490553132,3.7865663081964716,1.6094379124341003,1,3.4965075614664802,1,7.461065514354283,55.66749860948674,415.33885414560655,3024121,5258946419,4.574710978503383,2
25,House,Private room,Private,moderate,Real Bed,Hackney,29,100,2,1.5,94,52,1,2.62,0,1,1,593,2.62,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,29,7284815,Hackney,moderate,Private room,House,3.367295829986474,4,0.6931471805599453,0.4804530139182014,0,1,3.970291913552122,2,6.385194398997726,40.770707512991926,260.32889325513054,351649,208527857,4.543294782270004,1
20,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,65,100,2,1,88,55,3,1.13,0,2,2,1463,1.13,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,65,870168,Hackney,moderate,Entire home/apt,Apartment,4.174387269895637,4,0.6931471805599453,0.4804530139182014,0.6931471805599453,1,4.02535169073515,2,7.288244401020124,53.11850644900119,387.1406572174843,2140369,3131359847,4.477336814478207,2
30,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,165,100,5,2,100,2,1,0.08,0,2,2,797,0.08,1,0,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,165,4642580,Hackney,strict,Entire home/apt,Apartment,5.10594547390058,25,1.6094379124341003,2.5902903939802346,0.6931471805599453,2,1.0986122886681098,1,6.680854678790215,44.63381923911311,298.19206009590556,635209,506261573,4.605170185988092,2
30,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95,NA,3,1,96,27,1,0.78,0,2,1,1037,0.78,0,0,1,0,0,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,95,2574230,Hackney,moderate,Entire home/apt,Apartment,4.553876891600541,9,1.0986122886681098,1.206948960812582,0,1,3.332204510175204,1,6.9440872082295275,48.22034715549695,334.8462958588735,1075369,1115157653,4.564348191467836,2
15,House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,65,100,4,1,100,3,2,0.69,5,2,2,130,0.69,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,65,15460327,Hackney,moderate,Entire home/apt,House,4.174387269895637,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,1.3862943611198906,1,4.867534450455582,23.692891626371928,115.32596622227594,16900,2197000,4.605170185988092,2
NA,Apartment,Private room,Private,moderate,Real Bed,Hackney,28,100,2,1,90,2,1,0.34,0,1,1,174,0.34,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,28,14661402,Hackney,moderate,Private room,Apartment,3.332204510175204,4,0.6931471805599453,0.4804530139182014,0,1,1.0986122886681098,1,5.159055299214529,26.615851580353514,137.3126501387302,30276,5268024,4.499809670330265,1
30,House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,156,100,6,2,NA,0,4,NA,0,1,4,NA,NA,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,156,12903530,Hackney,moderate,Entire home/apt,House,5.049856007249537,36,1.791759469228055,3.210401995568401,1.3862943611198906,2,0,0,NA,NA,NA,NA,NA,NA,1
20,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95,100,5,1,100,5,5,0.25,10,5,3,600,0.25,0,0,0,1,1,0,0,0,0,0,1,1,1,1,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,95,6699918,Hackney,moderate,Entire home/apt,Apartment,4.553876891600541,25,1.6094379124341003,2.5902903939802346,1.0986122886681098,1,1.791759469228055,1,6.396929655216146,40.920709013783764,261.76689700274403,360000,216000000,4.605170185988092,3
NA,Apartment,Private room,Private,moderate,Real Bed,Hackney,25,89,2,1,93,6,1,1.67,0,1,1,107,1.67,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,25,14370540,Hackney,moderate,Private room,Apartment,3.2188758248682006,4,0.6931471805599453,0.4804530139182014,0,1,1.9459101490553132,1,4.672828834461906,21.835329316178612,102.03275643861079,11449,1225043,4.532599493153256,1
NA,House,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,200,NA,6,2,NA,0,1,NA,0,5,3,NA,NA,0,0,0,0,1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,0,200,3746537,Hackney,moderate,Entire home/apt,House,5.298317366548036,36,1.791759469228055,3.210401995568401,1.0986122886681098,2,0,0,NA,NA,NA,NA,NA,NA,3
75,House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,175,100,6,1,98,19,2,1.16,0,2,4,492,1.16,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,175,7847341,Hackney,strict,Entire home/apt,House,5.1647859739235145,36,1.791759469228055,3.210401995568401,1.3862943611198906,1,2.995732273553991,1,6.198478716492308,38.421138398808125,238.15260862841754,242064,119095488,4.584967478670572,2
36,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,95,100,2,1,94,24,1,1.94,0,2,1,371,1.94,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,95,8886505,Hackney,moderate,Entire home/apt,Apartment,4.553876891600541,4,0.6931471805599453,0.4804530139182014,0,1,3.2188758248682006,1,5.916202062607435,35.00144684560047,207.075632022186,137641,51064811,4.543294782270004,2
20,House,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,80,100,2,1,98,53,2,1.29,10,3,1,1230,1.29,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,80,1696001,Hackney,strict,Entire home/apt,House,4.382026634673881,4,0.6931471805599453,0.4804530139182014,0,1,3.9889840465642745,2,7.114769448366463,50.61994430340882,360.14923320790507,1512900,1860867000,4.584967478670572,3
10,Apartment,Private room,Private,flexible,Real Bed,Hackney,150,NA,2,1,NA,0,1,NA,0,5,1,NA,NA,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,150,4151158,Hackney,flexible,Private room,Apartment,5.0106352940962555,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,3
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,30,100,2,1,100,1,1,0.23,15,1,1,128,0.23,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,30,13629629,Hackney,flexible,Private room,Apartment,3.4011973816621555,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,4.852030263919617,23.542197681991865,114.22745563220279,16384,2097152,4.605170185988092,1
12,Apartment,Private room,Private,moderate,Real Bed,Hackney,29,NA,2,1,100,7,1,0.65,0,2,1,319,0.65,0,0,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,29,11732568,Hackney,moderate,Private room,Apartment,3.367295829986474,4,0.6931471805599453,0.4804530139182014,0,1,2.0794415416798357,1,5.765191102784844,33.23742845162953,191.62012678878241,101761,32461759,4.605170185988092,2
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,40,100,2,1,NA,0,1,NA,0,2,1,NA,NA,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,40,16687408,Hackney,flexible,Private room,Apartment,3.6888794541139363,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,2
NA,Apartment,Private room,Private,strict,Real Bed,Hackney,38,NA,2,1,92,10,1,0.88,0,1,1,339,0.88,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,38,12019448,Hackney,strict,Private room,Apartment,3.6375861597263857,4,0.6931471805599453,0.4804530139182014,0,1,2.3978952727983707,1,5.82600010738045,33.94227725119701,197.7477109102108,114921,38958219,4.5217885770490405,1
NA,House,Private room,Private,flexible,Real Bed,Hackney,30,NA,2,3,100,1,1,0.18,5,2,1,169,0.18,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,30,2119021,Hackney,flexible,Private room,House,3.4011973816621555,4,0.6931471805599453,0.4804530139182014,0,2,0.6931471805599453,1,5.1298987149230735,26.315860825369402,134.99770063015694,28561,4826809,4.605170185988092,2
NA,Apartment,Private room,Private,moderate,Real Bed,Hackney,110,NA,2,1.5,NA,0,1,NA,0,2,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,110,502289,Hackney,moderate,Private room,Apartment,4.700480365792417,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,2
35,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,190,67,4,1,96,11,4,0.26,15,2,2,1251,0.26,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,190,1257914,Hackney,flexible,Entire home/apt,House,5.247024072160486,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,2.4849066497880004,1,7.1316985104669115,50.86112364419596,362.72619973398577,1565001,1957816251,4.564348191467836,2
NA,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,71,86,6,1,NA,0,1,NA,0,4,2,NA,NA,1,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,71,13342662,Hackney,strict,Entire home/apt,Apartment,4.2626798770413155,36,1.791759469228055,3.210401995568401,0.6931471805599453,1,0,0,NA,NA,NA,NA,NA,NA,3
NA,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,115,100,5,1,95,4,4,0.18,20,3,2,656,0.18,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,115,5331886,Hackney,strict,Entire home/apt,Apartment,4.74493212836325,25,1.6094379124341003,2.5902903939802346,0.6931471805599453,1,1.6094379124341003,1,6.486160788944089,42.0702817800358,272.87461206149715,430336,282300416,4.553876891600541,3
NA,House,Private room,Private,flexible,Real Bed,Hackney,35,20,2,1,100,1,1,0.52,0,1,1,57,0.52,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,35,16490286,Hackney,flexible,Private room,House,3.5553480614894135,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,4.04305126783455,16.346263554338563,66.08878158772623,3249,185193,4.605170185988092,1
NA,Apartment,Private room,Private,flexible,Couch,Hackney,45,NA,2,1,NA,0,1,NA,10,1,1,NA,NA,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,45,2346751,Hackney,flexible,Private room,Apartment,3.8066624897703196,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,1
48,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,79,NA,2,1,92,10,1,0.85,0,3,1,353,0.85,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,79,11001281,Hackney,strict,Entire home/apt,Apartment,4.3694478524670215,4,0.6931471805599453,0.4804530139182014,0,1,2.3978952727983707,1,5.8664680569332965,34.41544746301873,201.89712320686542,124609,43986977,4.5217885770490405,3
20,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,85,100,2,1,NA,0,1,NA,0,2,1,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,85,16733411,Hackney,flexible,Entire home/apt,House,4.442651256490317,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,2
NA,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,100,NA,2,1.5,100,1,1,0.04,0,1,1,742,0.04,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,100,5323290,Hackney,flexible,Entire home/apt,House,4.605170185988092,4,0.6931471805599453,0.4804530139182014,0,1,0.6931471805599453,1,6.60934924316738,43.68349741815722,288.71949059960167,550564,408518488,4.605170185988092,1
150,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,121,96,6,1.5,NA,0,1,NA,7,1,4,NA,NA,0,0,0,0,0,1,0,0,0,1,1,0,1,1,1,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,1,1,0,1,121,17258516,Hackney,strict,Entire home/apt,Apartment,4.795790545596741,36,1.791759469228055,3.210401995568401,1.3862943611198906,1,0,0,NA,NA,NA,NA,NA,NA,1
20,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,69,100,4,1,95,73,1,1.61,0,3,2,1357,1.61,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,69,1188836,Hackney,moderate,Entire home/apt,Apartment,4.23410650459726,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,4.30406509320417,2,7.213031659834869,52.02782572578017,375.27835415242345,1841449,2498846293,4.553876891600541,3
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,30,NA,1,1,NA,0,1,NA,0,1,2,NA,NA,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,30,14242650,Hackney,flexible,Private room,Apartment,3.4011973816621555,1,0,0,0.6931471805599453,1,0,0,NA,NA,NA,NA,NA,NA,1
NA,House,Private room,Private,flexible,Real Bed,Hackney,60,100,3,1,100,1,1,0.48,0,4,NA,61,0.48,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,60,16424347,Hackney,flexible,Private room,House,4.0943445622221,9,1.0986122886681098,1.206948960812582,NA,1,0.6931471805599453,1,4.110873864173311,16.899283927143212,69.47082461933715,3721,226981,4.605170185988092,3
10,Apartment,Private room,Private,strict,Real Bed,Hackney,29,100,1,1,93,125,1,4.15,0,2,1,902,4.15,0,0,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,29,3639077,Hackney,strict,Private room,Apartment,3.367295829986474,1,0,0,0,1,4.836281906951478,2,6.804614520062624,46.302778766647094,315.07256071477417,813604,733870808,4.532599493153256,2
NA,Apartment,Private room,Private,flexible,Real Bed,Hackney,73,NA,2,1,NA,0,1,NA,0,1,1,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,73,6788203,Hackney,flexible,Private room,Apartment,4.290459441148391,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,1
20,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,55,100,2,1,93,3,2,0.87,0,5,1,103,0.87,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,55,14572278,Hackney,strict,Entire home/apt,Apartment,4.007333185232471,4,0.6931471805599453,0.4804530139182014,0,1,1.3862943611198906,1,4.634728988229636,21.480712794336103,99.55728227574477,10609,1092727,4.532599493153256,3
12,House,Private room,Private,strict,Real Bed,Hackney,66,100,2,0.5,NA,0,1,NA,8,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,66,17339749,Hackney,strict,Private room,House,4.189654742026425,4,0.6931471805599453,0.4804530139182014,0,0,0,0,NA,NA,NA,NA,NA,NA,1
15,Apartment,Private room,Private,strict,Real Bed,Hackney,33,100,2,1.5,84,12,1,2.02,0,2,1,176,2.02,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,33,14482740,Hackney,strict,Private room,Apartment,3.4965075614664802,4,0.6931471805599453,0.4804530139182014,0,1,2.5649493574615367,1,5.170483995038151,26.733904742945683,138.22722659827517,30976,5451776,4.430816798843313,2
NA,House,Private room,Private,strict,Real Bed,Hackney,39,100,2,1.5,70,4,1,0.43,0,2,1,280,0.43,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,0,39,13171330,Hackney,strict,Private room,House,3.6635616461296463,4,0.6931471805599453,0.4804530139182014,0,1,1.6094379124341003,1,5.634789603169249,31.750853871984265,178.90938128960303,78400,21952000,4.248495242049359,2
20,House,Entire home/apt,Entire/Apt,flexible,Real Bed,Hackney,100,100,6,1,NA,0,4,NA,20,2,4,NA,NA,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,100,16992311,Hackney,flexible,Entire home/apt,House,4.605170185988092,36,1.791759469228055,3.210401995568401,1.3862943611198906,1,0,0,NA,NA,NA,NA,NA,NA,2
36,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,132,100,7,1.5,NA,0,1,NA,0,3,2,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,132,17147365,Hackney,strict,Entire home/apt,Apartment,4.882801922586371,49,1.9459101490553132,3.7865663081964716,0.6931471805599453,1,0,0,NA,NA,NA,NA,NA,NA,3
28,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,66,100,2,1,NA,0,1,NA,0,2,1,NA,NA,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,66,16980433,Hackney,strict,Entire home/apt,Apartment,4.189654742026425,4,0.6931471805599453,0.4804530139182014,0,1,0,0,NA,NA,NA,NA,NA,NA,2
40,Apartment,Entire home/apt,Entire/Apt,strict,Real Bed,Hackney,95,100,4,1,90,15,1,1.07,7,2,2,420,1.07,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,95,7283114,Hackney,strict,Entire home/apt,Apartment,4.553876891600541,16,1.3862943611198906,1.9218120556728056,0.6931471805599453,1,2.772588722239781,1,6.040254711277414,36.484676977109,220.3767420004172,176400,74088000,4.499809670330265,2
15,Apartment,Private room,Private,strict,Real Bed,Hackney,39,100,2,2,50,2,2,0.23,10,1,1,257,0.23,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,39,12794205,Hackney,strict,Private room,Apartment,3.6635616461296463,4,0.6931471805599453,0.4804530139182014,0,2,1.0986122886681098,1,5.54907608489522,30.792245395956062,170.86851252692475,66049,16974593,3.912023005428146,1
15,Apartment,Private room,Private,strict,Real Bed,Hackney,33,99,2,1,71,11,1,3.33,0,2,1,98,3.33,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,33,16093430,Hackney,strict,Private room,Apartment,3.4965075614664802,4,0.6931471805599453,0.4804530139182014,0,1,2.4849066497880004,1,4.584967478670572,21.021926780466785,96.38485062743418,9604,941192,4.2626798770413155,2
35,Apartment,Private room,Private,strict,Real Bed,Hackney,80,100,2,0.5,93,36,1,0.55,30,1,1,1956,0.55,1,0,1,1,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,80,244126,Hackney,strict,Private room,Apartment,4.382026634673881,4,0.6931471805599453,0.4804530139182014,0,0,3.6109179126442243,1,7.578656850594762,57.43603965906692,435.28803543322,3825936,7483530816,4.532599493153256,1
15,House,Private room,Private,strict,Real Bed,Hackney,59,100,2,1,100,3,1,0.3,0,2,1,300,0.3,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,59,12577140,Hackney,strict,Private room,House,4.07753744390572,4,0.6931471805599453,0.4804530139182014,0,1,1.3862943611198906,1,5.703782474656201,32.53313451819522,185.56192251051456,90000,27000000,4.605170185988092,2
35,Apartment,Entire home/apt,Entire/Apt,moderate,Real Bed,Hackney,90,NA,2,1,90,4,1,0.19,0,5,1,645,0.19,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,4825530,Hackney,moderate,Entire home/apt,Apartment,4.499809670330265,4,0.6931471805599453,0.4804530139182014,0,1,1.6094379124341003,1,6.4692503167957724,41.8511996613622,270.74588666755056,416025,268336125,4.499809670330265,3
